Código,código subsector,Título,Descripción,Incluye,Excluye
1111,111,Cultivo de semillas oleaginosas, leguminosas y cereales,Unidades económicas dedicadas principalmente a la siembra y cultivo de semillas oleaginosas, como soya, cártamo, girasol, canola, ajonjolí, linaza; de leguminosas para grano, como frijol, garbanzo, lenteja, y de cereales, como trigo, maíz, arroz, sorgo.,Incluye también: u.e.d.p. al cultivo de semillas oleaginosas o de leguminosas con la finalidad de cosechar la planta completa para aprovechamiento del ganado; al cultivo de sorgo escobero; unidades económicas que combinan el cultivo de diferentes semillas oleaginosas cuando sea imposible determinar cuál es la actividad principal; unidades económicas que combinan el cultivo de diferentes leguminosas para grano cuando sea imposible determinar cuál es la actividad principal, y unidades económicas que combinan el cultivo de diferentes cereales cuando sea imposible determinar cuál es la actividad principal.,Excluye: u.e.d.p. al cultivo de elote o maíz tierno; ejote, chícharo, haba cuya cosecha se realiza en verde (1112, Cultivo de hortalizas); a la producción de semillas mejoradas; al cultivo de algodón; de cacahuate; unidades económicas que combinan el cultivo de diferentes especies vegetales cuando sea imposible determinar cuál es la actividad principal; unidades económicas que combinan actividades agrícolas con explotación de animales cuando sea imposible determinar cuál es la actividad principal, y unidades económicas que combinan actividades agrícolas, explotación de animales y aprovechamiento forestal cuando sea imposible determinar cuál es la actividad principal (1119, Otros cultivos).
1112,111,Cultivo de hortalizas,Véase la descripción de la categoría 11121.,,
1113,111,Cultivo de frutales y nueces,Unidades económicas dedicadas principalmente al cultivo de frutales, como cítricos, café, plátano, manzana, cacao, coco, durazno, zapote, olivo, y nueces, como nuez pecanera.,Incluye también: u.e.d.p. al cultivo de coquito de aceite; de fresa; de nueces de palma, y unidades económicas que combinan el cultivo de diferentes especies de frutales y nueces cuando sea imposible determinar cuál es la actividad principal.,Excluye: u.e.d.p. al cultivo de melón y sandía (1112, Cultivo de hortalizas); a la producción de materiales de propagación de frutales y nueces, como sarmientos, patrones, frutales jóvenes e hijuelos de frutales (1114, Cultivo en invernaderos y otras estructuras agrícolas protegidas, y floricultura); a la recolección de frutas silvestres (1132, Viveros forestales y recolección de productos forestales); unidades económicas que combinan actividades agrícolas con explotación de animales cuando sea imposible determinar cuál es la actividad principal; unidades económicas que combinan actividades agrícolas, explotación de animales y aprovechamiento forestal cuando sea imposible determinar cuál es la actividad principal, y unidades económicas que combinan el cultivo de diferentes especies vegetales cuando sea imposible determinar cuál es la actividad principal (1119, Otros cultivos).
1114,111,Cultivo en invernaderos y otras estructuras agrícolas protegidas, y floricultura,Unidades económicas dedicadas principalmente al cultivo de todo tipo de plantas, anuales y perennes, en invernaderos y otras estructuras agrícolas protegidas, y al cultivo de flores para corte tanto en invernaderos y otras estructuras agrícolas protegidas como a cielo abierto; al cultivo de árboles de Navidad y de especies maderables de ciclos productivos de 10 años o menos, y a la producción de materiales de propagación, como sarmientos, bulbos, patrones, estacas, esquejes, hijuelos y plantas jóvenes.,Incluye también: u.e.d.p. a la producción de plántulas y plantitas de hortalizas en almácigos; a los cultivos hidropónicos, y unidades económicas que combinan diferentes cultivos en invernaderos y otras estructuras agrícolas protegidas cuando sea imposible determinar cuál es la actividad principal.,Excluye: u.e.d.p. al cultivo de hortalizas a cielo abierto (1112, Cultivo de hortalizas); al cultivo de fresas y bayas (berries) a cielo abierto (1113, Cultivo de frutales y nueces); a la acuicultura vegetal (1125, Acuicultura); a la plantación, reforestación y conservación de especies maderables de ciclos productivos mayores de 10 años (1131, Silvicultura); unidades económicas que combinan el cultivo de diferentes especies vegetales cuando sea imposible determinar cuál es la actividad principal (1119, Otros cultivos), y viveros dedicados principalmente al cultivo de especies forestales para tareas de forestación y reforestación (1132, Viveros forestales y recolección de productos forestales).
1119,111,Otros cultivos,Unidades económicas dedicadas principalmente al cultivo de tabaco, algodón, caña de azúcar, alfalfa, pastos forrajeros, agaves, cacahuate, especias, té, amaranto, césped o pasto en rollo o en panes y otros cultivos no clasificados en otra parte; a la combinación de actividades agrícolas con explotación de animales cuando sea imposible determinar cuál es la actividad principal; a la combinación de actividades agrícolas con aprovechamiento forestal cuando sea imposible determinar cuál es la actividad principal, y a la combinación de actividades agrícolas, explotación de animales y aprovechamiento forestal cuando sea imposible determinar cuál es la actividad principal.,Incluye también: u.e.d.p. al cultivo de trébol; al cultivo de plantas para la obtención de fibras textiles; a la recolección de savia de maple; a la recolección de gomas, resinas y otros productos forestales en plantaciones o que realizan para ello alguna labor agrícola; a la producción de semillas mejoradas, y unidades económicas que combinan el cultivo de diferentes especies vegetales cuando sea imposible determinar cuál es la actividad principal.,Excluye: u.e.d.p. al cultivo de soya y semillas oleaginosas (1111, Cultivo de semillas oleaginosas, leguminosas y cereales); al cultivo de cacao; de coco; de olivo; de nueces de palma (1113, Cultivo de frutales y nueces); a la acuicultura vegetal (1125, Acuicultura); a la explotación de animales combinada con aprovechamiento forestal cuando sea imposible determinar cuál es la actividad principal (1129, Explotación de otros animales); a la recolección de gomas, resinas y otros productos forestales cuando no se realiza para ello ninguna labor agrícola previa (1132, Viveros forestales y recolección de productos forestales); a la elaboración de pulque (3121, Industria de las bebidas), y a los servicios de instalación y mantenimiento de áreas verdes en interiores y exteriores de inmuebles (5617, Servicios de limpieza).
1121,112,Explotación de bovinos,Unidades económicas dedicadas principalmente a la explotación de ganado bovino para la producción de carne; de leche; producción conjunta de leche y carne, y para otros propósitos distintos a los anteriores.,Incluye también: u.e.d.p. a la cría de becerras y sementales en desarrollo para ser utilizados como ganado bovino para la producción de leche, y unidades económicas que combinan la explotación de ganado bovino con diferentes propósitos cuando sea imposible determinar cuál es la actividad principal.,Excluye: unidades económicas que combinan actividades agrícolas con explotación de animales cuando sea imposible determinar cuál es la actividad principal (1119, Otros cultivos); unidades económicas que combinan la explotación de animales de diferentes especies cuando sea imposible determinar cuál es la actividad principal, y unidades económicas dedicadas a la explotación de bovinos combinada con aprovechamiento forestal cuando sea imposible determinar cuál es la actividad principal (1129, Explotación de otros animales).
1122,112,Explotación de porcinos,Véase la descripción de la categoría 11221.,,
1123,112,Explotación avícola,Unidades económicas dedicadas principalmente a la explotación de aves para la producción de carne o de huevo y a la producción de aves en incubadora.,Incluye también: unidades económicas que combinan la explotación de diferentes tipos de aves en cualquiera de sus fases para la producción de carne y huevo cuando sea imposible determinar cuál es la actividad principal.,Excluye: u.e.d.p. a la explotación de aves de ornato en ambientes controlados; unidades económicas que combinan la explotación de animales de diferentes especies cuando sea imposible determinar cuál es la actividad principal (1129, Explotación de otros animales), y unidades económicas que combinan actividades agrícolas con explotación de animales cuando sea imposible determinar cuál es la actividad principal (1119, Otros cultivos).
1124,112,Explotación de ovinos y caprinos,Unidades económicas dedicadas principalmente a la explotación de ovinos y caprinos.,Incluye también: unidades económicas que combinan la explotación de ovinos con la de caprinos cuando sea imposible determinar cuál es la actividad principal.,Excluye: unidades económicas que combinan actividades agrícolas con explotación de animales cuando sea imposible determinar cuál es la actividad principal (1119, Otros cultivos); unidades económicas que combinan la explotación de ovinos y caprinos con aprovechamiento forestal cuando sea imposible determinar cuál es la actividad principal, y unidades económicas que combinan la explotación de animales de diferentes especies cuando sea imposible determinar cuál es la actividad principal (1129, Explotación de otros animales).
1125,112,Acuicultura,Véase la descripción de la categoría 11251.,,
1129,112,Explotación de otros animales,Unidades económicas dedicadas principalmente a la explotación de abejas, équidos, conejos, chinchillas, zorros, perros, gatos, gallos de pelea, aves de ornato, gusanos de seda, llamas, venados y otros animales no clasificados en otra parte, y unidades económicas dedicadas a la explotación de animales combinada con aprovechamiento forestal cuando sea imposible determinar cuál es la actividad principal.,Incluye también: unidades económicas que combinan la explotación de animales de diferentes especies cuando sea imposible determinar cuál es la actividad principal.,Excluye: u.e.d.p. a la producción de aves en incubadora (1123, Explotación avícola); a la explotación de cocodrilos en ambientes controlados (1125, Acuicultura); a la caza y captura de animales; al aprovechamiento sustentable de las especies silvestres en reservas para caza y captura, como los ranchos cinegéticos (1142, Caza y captura); a proporcionar el servicio de pensión para equinos (1152, Servicios relacionados con la cría y explotación de animales); a la pasteurización, homogeneización y envasado de miel (3119, Otras industrias alimentarias); al comercio al por menor especializado de aves de ornato, perros, gatos (4659, Comercio al por menor de mascotas, regalos, artículos religiosos, desechables, artesanías y otros artículos de uso personal); a la exhibición de animales salvajes (7121, Museos, sitios históricos, zoológicos y similares), y unidades económicas que combinan actividades agrícolas con explotación de animales cuando sea imposible determinar cuál es la actividad principal (1119, Otros cultivos).
1131,113,Silvicultura,Véase la descripción de la categoría 113110.,,
1132,113,Viveros forestales y recolección de productos forestales,Véase la descripción de la categoría 11321.,,
1133,113,Tala de árboles,Véase la descripción de la categoría 113310.,,
1141,114,Pesca,Véase la descripción de la categoría 11411.,,
1142,114,Caza y captura,Véase la descripción de la categoría 114210.,,
1151,115,Servicios relacionados con la agricultura,Véase la descripción de la categoría 11511.,,
1152,115,Servicios relacionados con la cría y explotación de animales,Véase la descripción de la categoría 115210.,,
1153,115,Servicios relacionados con el aprovechamiento forestal,Véase la descripción de la categoría 115310.,,
2111,211,Extracción de petróleo y gas,Véase la descripción de la categoría 21111.,,
2121,212,Minería de carbón mineral,Véase la descripción de la categoría 212110.,,
2122,212,Minería de minerales metálicos,Unidades económicas dedicadas principalmente a la explotación de minerales metálicos, como hierro, oro, plata, cobre, plomo, zinc y otros minerales metálicos, y a actividades de beneficio, como la trituración, el cribado, la molienda, la concentración magnética, la flotación y la lixiviación, encaminadas a la obtención de concentrados y precipitados.,Incluye también: u.e.d.p. a la explotación de cobre por medio de la extracción por solventes y deposición electrolítica.,Excluye: u.e.d.p. a la explotación de pirita y pirrotina (2123, Minería de minerales no metálicos); al enriquecimiento de minerales radiactivos (3251, Fabricación de productos químicos básicos); a la producción de hierro de primera fusión o arrabio; de ferroaleaciones (3311, Industria básica del hierro y del acero), y a la fundición, afinación, refinación y recuperación de metales (3311, Industria básica del hierro y del acero; 3314, Industrias de metales no ferrosos, excepto aluminio, y 3315, Moldeo por fundición de piezas metálicas).
2123,212,Minería de minerales no metálicos,Unidades económicas dedicadas principalmente a la explotación de minerales no metálicos, como piedras calizas, piedras dimensionadas (mármol, piedra de cantera); arena, grava, arcillas refractarias y no refractarias, y sal, y a actividades de beneficio, como el cribado, la trituración y otros tratamientos a tierras y rocas.,Incluye también: u.e.d.p. a la explotación de granito, ónix y serpentina; a la explotación y beneficio de mica; a la explotación de confitillo y cacahuatillo, y a la recolección de sal mediante la evaporación al sol de agua de mar, salmuera de lago y otras salmueras naturales.,Excluye: u.e.d.p. a la minería de carbón mineral (2121, Minería de carbón mineral); a la elaboración de sal refinada y yodatada (3119, Otras industrias alimentarias); a la fabricación de fertilizantes químicos (3253, Fabricación de fertilizantes, pesticidas y otros agroquímicos); a la obtención de arcilla integrada con la producción de artículos terminados (3271, Fabricación de productos a base de arcillas y minerales refractarios); a la fabricación de cemento (3273, Fabricación de cemento y productos de concreto); de cal y yeso (3274, Fabricación de cal, yeso y productos de yeso); de productos a base de piedras de cantera por medio del corte, dimensionado, pulido, laminado y biselado (3279, Fabricación de otros productos a base de minerales no metálicos), y de electrodos de grafito (3359, Fabricación de otros equipos y accesorios eléctricos).
2131,213,Servicios relacionados con la minería,Véase la descripción de la categoría 21311.,,
2211,221,Generación, transmisión, distribución y comercialización de energía eléctrica,Unidades económicas dedicadas principalmente a la generación, transmisión, distribución y comercialización de energía eléctrica.,Incluye también: u.e.d.p. a prestar el servicio de suministro eléctrico a los usuarios finales.,
2212,221,Suministro de gas natural por ductos al consumidor final,Véase la descripción de la categoría 221210.,,
2213,221,Captación, tratamiento y suministro de agua,Véase la descripción de la categoría 22131.,,
2361,236,Edificación residencial,Véase la descripción de la categoría 23611.,,
