Código,Código sector,Descripción,Incluye,Excluye
111,11,Unidades económicas dedicadas principalmente a las actividades relacionadas con la explotación de especies vegetales cultivadas en terrenos, predios, parcelas, patios u otras partes de la vivienda, huertos, invernaderos y otras estructuras agrícolas protegidas —mediante cultivos transgénicos, orgánicos o de otro tipo— cultivadas con el fin de obtener alimentos para consumo humano y animal, así como para suministrar materias primas a la industria y producir plantas ornamentales. Comprende las unidades económicas que combinan actividades agrícolas con la explotación de animales cuando sea imposible determinar cuál es la actividad principal; unidades económicas que combinan actividades agrícolas con el aprovechamiento forestal cuando sea imposible determinar cuál es la actividad principal; unidades económicas que combinan actividades agrícolas, explotación de animales y aprovechamiento forestal cuando sea imposible determinar cuál es la actividad principal. Se clasifican en este subsector las unidades económicas que realizan de manera integrada la siembra, cultivo y actividades de beneficio de productos agrícolas.,Incluye también: u.e.d.p. a los cultivos hidropónicos; al cultivo de plantas para la obtención de fibras textiles; a la recolección de savia de maple; a la recolección de gomas, resinas y otros productos forestales en plantaciones o que realizan para ello alguna labor agrícola, y a la producción de semillas mejoradas.,Excluye: u.e.d.p. a la explotación de animales combinada con aprovechamiento forestal cuando sea imposible determinar cuál es la actividad principal; a la acuicultura vegetal (112, Cría y explotación de animales); a la recolección de gomas, resinas y otros productos forestales cuando no se realiza para ello ninguna labor agrícola previa; a la recolección de frutas silvestres y plantas medicinales; a la plantación, reforestación y conservación de especies maderables de ciclos productivos mayores de 10 años; al cultivo de especies forestales en viveros para tareas de forestación y reforestación (113, Aprovechamiento forestal); al beneficio del arroz, café, té, cacao (311, Industria alimentaria); al beneficio del tabaco; a la elaboración de pulque (312, Industria de las bebidas y del tabaco), y a los servicios de instalación y mantenimiento de áreas verdes en interiores y exteriores de inmuebles (561, Servicios de apoyo a los negocios).
112,11,Unidades económicas dedicadas principalmente a la explotación, en cualquiera de sus fases (cría, reproducción, engorda y uso), de ganado bovino, porcino, ovino, caprino, équidos, animales con pelaje fino, y de otros animales no clasificados en otra parte, como perros, gatos, aves de ornato, venados, y a la avicultura, acuicultura, cunicultura y apicultura.,Incluye también: u.e.d.p. a la cría de becerras y sementales en desarrollo para ser utilizados como ganado bovino para la producción de leche; unidades económicas que combinan la explotación de ganado bovino con diferentes propósitos cuando sea imposible determinar cuál es la actividad principal; unidades económicas que combinan la explotación de diferentes tipos de aves en cualquiera de sus fases para la producción de carne y huevo cuando sea imposible determinar cuál es la actividad principal; unidades económicas que combinan la explotación de ovinos con la de caprinos cuando sea imposible determinar cuál es la actividad principal; u.e.d.p. a la acuicultura vegetal; a la cría y explotación de peces de ornato y anfibios en ambientes controlados, y unidades económicas que combinan la explotación de animales de diferentes especies cuando sea imposible determinar cuál es la actividad principal.,Excluye: u.e.d.p. a la captura y caza de animales; al aprovechamiento sustentable de especies silvestres en reservas para caza y captura, como los ranchos cinegéticos; a la pesca de peces y de camarón (114, Pesca, caza y captura); a proporcionar el servicio de pensión para equinos (115, Servicios relacionados con las actividades agropecuarias y forestales); a la pasteurización, homogeneización y envasado de miel (311, Industria alimentaria); al comercio al por menor especializado de peces y aves de ornato, gatos, perros (465, Comercio al por menor de artículos de papelería, para el esparcimiento y otros artículos de uso personal); a la exhibición de animales salvajes (712, Museos, sitios históricos, zoológicos y similares); unidades económicas que combinan actividades agrícolas con explotación de animales cuando sea imposible determinar cuál es la actividad principal, y unidades económicas que combinan actividades agrícolas, explotación de animales y aprovechamiento forestal cuando sea imposible determinar cuál es la actividad principal (111, Agricultura).
113,11,Unidades económicas dedicadas principalmente a la plantación, reforestación, conservación y tala de especies forestales de ciclos productivos mayores de 10 años; al cultivo, en viveros forestales, de especies forestales para tareas de forestación y reforestación, y a la recolección de productos forestales, como gomas, resinas y otros productos silvestres.,Incluye también: unidades económicas que realizan tanto la producción de árboles como su tala, y a las actividades que se realizan en el mismo lugar de la tala, como el desbastado y el descortezado de troncos y la producción de trozas, astillas y rajas de madera.,Excluye: u.e.d.p. al cultivo de frutales y nueces; de árboles de Navidad y de especies maderables de ciclos productivos de 10 años o menos; a la recolección de savia de maple; a la recolección de gomas, resinas y otros productos forestales en plantaciones o que realizan para ello alguna labor agrícola; unidades económicas que combinan actividades agrícolas, explotación de animales y aprovechamiento forestal cuando sea imposible determinar cuál es la actividad principal (111, Agricultura); unidades económicas que combinan la explotación de animales con aprovechamiento forestal cuando sea imposible determinar cuál es la actividad principal (112, Cría y explotación de animales), y u.e.d.p. a la producción de diversos productos de madera a partir de madera en rollo (321, Industria de la madera).
114,11,Unidades económicas dedicadas principalmente a la pesca, caza y captura de animales.,Incluye también: u.e.d.p. a la recolección de productos marinos como estrellas de mar y esponjas.,Excluye: u.e.d.p. a la acuicultura; a la explotación de animales salvajes en ambientes controlados (112, Cría y explotación de animales); a los servicios de investigación relacionados con la pesca (541, Servicios profesionales, científicos y técnicos); a hacer posible el acceso del público a zonas naturales, como reservas naturales y santuarios de animales (712, Museos, sitios históricos, zoológicos y similares), y a proporcionar servicios recreativos en clubes o ligas de aficionados a la pesca (713, Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativos).
115,11,Unidades económicas dedicadas principalmente a proporcionar servicios de apoyo a terceros para las actividades agropecuarias y forestales, como servicios de administración de unidades económicas agrícolas, para explotación de animales y forestales; alquiler de maquinaria y equipo con operador de uso agrícola, para explotación de animales y forestal; a la colocación de personal agrícola; servicios agrícolas antes, durante y después de la cosecha; servicios encaminados a mejorar el manejo de las actividades pecuarias, y servicios de apoyo a las actividades silvícolas.,Incluye también: u.e.d.p. al tostado de hojas de plátano.,Excluye: u.e.d.p. a realizar de manera integrada la siembra, cultivo y actividades de beneficio de productos agrícolas (111, Agricultura); a proporcionar el servicio de riego agrícola (221, Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final); al alquiler de maquinaria y equipo de construcción con operador para actividades de desmonte (238, Trabajos especializados para la construcción); al beneficio del arroz, café, té, cacao; a la deshidratación y conservación de frutas y verduras (311, Industria alimentaria); al beneficio del tabaco (312, Industria de las bebidas y del tabaco); al alquiler de maquinaria sin operador para actividades agropecuarias y forestales (532, Servicios de alquiler de bienes muebles); a proporcionar servicios veterinarios privados y públicos para mascotas y para la ganadería; de consultoría técnica agropecuaria o forestal (541, Servicios profesionales, científicos y técnicos); a proveer personal propio no agrícola a otras unidades económicas para apoyar o complementar la fuerza de trabajo de éstas por un tiempo determinado; a los servicios de empacado y etiquetado de productos no agrícolas propiedad de terceros (561, Servicios de apoyo a los negocios), y a proporcionar servicios de pensiones para mascotas (812, Servicios personales).
211,21,Véase la descripción de la categoría 21111.,,
212,21,Unidades económicas dedicadas principalmente a la explotación de carbón mineral, minerales metálicos y no metálicos, y al beneficio de éstos con el fin de obtener concentrados y precipitados.,Incluye también: u.e.d.p. a la explotación de cobre por medio de la extracción por solventes y deposición electrolítica; a la explotación de granito, ónix y serpentina; a la explotación y beneficio de mica; a la explotación de confitillo y cacahuatillo, y a la recolección de sal mediante la evaporación al sol de agua de mar, salmuera de lago y otras salmueras naturales.,Excluye: u.e.d.p. a la recuperación por contrato de carbón mineral en escombreras (213, Servicios relacionados con la minería); a la elaboración de sal refinada y yodatada (311, Industria alimentaria); a la fabricación de carbón vegetal (321, Industria de la madera); de coque, briquetas de carbón y de otros productos derivados del carbón mineral elaborados fuera de la mina (324, Fabricación de productos derivados del petróleo y del carbón); al enriquecimiento de minerales radiactivos; a la fabricación de fertilizantes químicos (325, Industria química); a la obtención de arcilla integrada con la producción de artículos terminados; a la fabricación de cemento; de cal y yeso; de productos a base de piedras de cantera por medio del corte, dimensionado, pulido, laminado y biselado (327, Fabricación de productos a base de minerales no metálicos); a la producción de hierro de primera fusión o arrabio; de ferroaleaciones; a la fundición, afinación y refinación de minerales metálicos no ferrosos; a la recuperación de metales no ferrosos y sus aleaciones (331, Industrias metálicas básicas), y a la fabricación de electrodos de carbón y de grafito (335, Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica).
213,21,Véase la descripción de la categoría 21311.,,
221,22,Unidades económicas dedicadas principalmente a la generación, transmisión, distribución y comercialización de energía eléctrica, así como al suministro de agua y de gas por ductos al consumidor final.,Incluye también: u.e.d.p. a la producción, captación y distribución de vapor por ductos, y a proporcionar el servicio de riego agrícola.,Excluye: u.e.d.p. a la purificación y embotellado de agua natural (312, Industria de las bebidas y del tabaco); al comercio al por menor especializado de gas L.P. en cilindros y para tanques estacionarios; de gas natural vehicular en estaciones de gas natural vehicular (468, Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes); al transporte de gas natural por ductos del lugar en que se obtiene o produce a la planta distribuidora (486, Transporte por ductos); al tratamiento o disposición final de residuos peligrosos; a proporcionar servicios de remediación de agua; limpieza de fosas sépticas, limpieza y desazolve de cárcamos, redes de drenajes y cañerías de alcantarillado (562, Manejo de residuos y servicios de remediación), y unidades económicas gubernamentales dedicadas principalmente al establecimiento de normas y procedimientos para mejorar el medio ambiente (931, Actividades legislativas, gubernamentales y de impartición de justicia).
236,23,Unidades económicas dedicadas principalmente a la construcción de vivienda unifamiliar o multifamiliar; a la edificación no residencial, como naves y plantas industriales, inmuebles comerciales y de servicios, y a la supervisión de la construcción de las edificaciones. Puede tratarse de trabajos nuevos, ampliaciones, remodelaciones, mantenimiento o reparaciones de edificaciones.,Incluye también: u.e.d.p. a la construcción operativa de edificaciones (construcción de edificaciones por cuenta propia y en terrenos propios para luego ser vendidas); a la edificación de estructuras cuya construcción es similar a la de las naves y plantas industriales, como incineradores, plantas de cemento, altos hornos, plantas de disposición de desechos, y al montaje en el sitio de casas prefabricadas.,Excluye: u.e.d.p. a la construcción de obras de ingeniería civil como la construcción de plantas de refinería y petroquímica; a la división de terrenos y construcción de obras de urbanización; a la construcción de instalaciones deportivas al aire libre; a la supervisión durante la construcción de obras de ingeniería civil (237, Construcción de obras de ingeniería civil); a la realización de trabajos especializados para la construcción; a la construcción de albercas en exteriores (238, Trabajos especializados para la construcción); a la fabricación de casas prefabricadas de madera (321, Industria de la madera); a la intermediación en las operaciones de venta y alquiler de bienes raíces (531, Servicios inmobiliarios), y a proporcionar servicios de ingeniería o arquitectura cuando no involucran la construcción (541, Servicios profesionales, científicos y técnicos).
